name,category,media_anchor,design_summary
待办事项,life,子弹笔记手账,米白底(#faf8f5)，手写体复选框 [ ] / [x]，优先级 ! / * 前缀，迁移标记 > ，日期标签
菜谱,life,家庭手写食谱,泛黄油渍纸底(#f5edd8)，食材列表分点，步骤编号，火候/时间标注，手绘锅具小插图
游戏攻略,life,游戏杂志攻略页,亮白铜版纸底(#ffffff)，关卡名粗体，道具列表表格，Boss 攻略要点红色框，地图占位
考试试卷,life,学校考试卷,白色底(#ffffff)，密封线左侧竖条，姓名/班级字段，一/二/三题型分节，分数标注方框
调查问卷,life,在线问卷表单,白色底(#f8f9fa)，题号加粗，单选圆形/多选方形，5 级量表，必填红星，提交按钮
超市价签,life,超市电子价签,白色卡纸底(#ffffff)，品名黑色粗体，价格红色大号，规格/产地灰色小字，条形码底部
地铁报站,life,地铁线路图风格,深灰底(#1a1a1a)，站点圆点+线段，当前站红色闪烁，换乘标注，方向箭头
天气预报,life,天气 App 卡片,渐变蓝天底(#4a90d9→#87ceeb)，温度大号白色，天气图标 SVG，湿度/风力小字，七日条
微博,social,微博移动端卡片,白色底(#ffffff)，头像圆形占位，昵称粗体，正文 140 字限制感，话题 ## 蓝色，#话题标签#，转发/评论/点赞三栏
朋友圈,social,微信朋友圈卡片,浅灰底(#f0f0f0)，头像左上圆，昵称蓝色，正文下方图片九宫格占位，时间戳灰色小字，点赞评论折叠
小红书笔记,social,小红书笔记卡片,白色底(#ffffff)，大图顶部占位，标题加粗，#标签 红色，点赞收藏数，博主头像+昵称
抖音文案,social,抖音视频文案区,黑色底(#000000)，白色文案居中，@朋友 黄色，音乐碟片旋转图标，#话题 蓝色小字
B 站弹幕,social,B 站视频弹幕墙,深灰播放器底(#1a1a1a)，多彩弹幕飘过(白/蓝/黄/绿)，顶部固定弹幕，底部发送框
论坛帖子,social,贴吧/论坛楼层,白色底(#ffffff)，楼主标签红色，楼层号 #1 #2，头像+昵称左栏，引用块灰色背景，回复按钮
博客文章,social,Medium 风格博客,白色底(#ffffff)，大标题衬线字体，日期/阅读时长元数据，正文段落宽行距，标签底部
短信聊天记录,social,iOS 短信界面,浅灰底(#e5e5ea)，蓝色发送气泡(右对齐)，灰色接收气泡(左对齐)，时间戳居中，已读标记
歌词,creative,歌词本手写页,米黄纸底(#f5f0e5)，主歌/副歌分段，和弦标注上方小字，押韵脚注，段落间空行
病历记录,format,医院电子病历,白色底(#ffffff)，SOAP 格式，主诉/现病史/体格检查/诊断分段，表格边框，处方区
快递单,life,快递电子面单,白色热敏纸(#f8f6f1)，粗黑边框，寄件/收件分区，品名/重量/运费字段，条码底部
邮件,work,Gmail 邮件界面,白色底(#ffffff)，主题粗体，发件人+时间头部栏，正文左对齐，签名灰色分隔线
XML 文档,tech,VS Code XML 编辑器,深色底(#1e1e1e)，尖括号灰色，标签名蓝色，属性品红，缩进层级线，注释绿色
乐谱,creative,简谱手写稿,泛黄纸底(#f0ead6)，1-7 数字音符，小节线竖线，调号顶部，歌词下方对齐，手写音符
电影字幕,creative,电影字幕条,半透明黑底(#000000cc)，白色中文字幕，时间码左侧小字，英文副字幕灰色，双语间距
梦境,creative,梦境日记,淡紫雾底(#e8e0f0)，文字模糊感，逻辑跳跃分段，意象关键词加粗，不规则缩进，朦胧边框
呓语,creative,睡眠监测记录,深灰蓝底(#1a1f2a)，断句省略号，语无伦次分行，关键字偶尔加粗，脑电波线条纹
乱码,creative,损坏文件终端,黑色底(#0a0a0a)，随机字符绿色，方块替代乱码，闪烁光标，破损感，混合编码符号
电报,creative,老式电报单,泛黄纸底(#f0e8d0)，大写字母，STOP 分隔词，极简省字，顶部收发报局名，发送时间戳
获奖感言,creative,颁奖台背景卡,深红幕布底(#3a1020)，金色标题，感谢名单分行，金色边框，聚光灯高亮区
颁奖词,creative,颁奖典礼手卡,白色卡纸底(#ffffff)，居中粗体标题，获奖者名大号，颁奖词分段引号，签名底部
自我介绍,creative,个人名片,白色卡片底(#ffffff)，姓名大字，身份/职业灰色，一句话介绍，联系方式图标行，Logo 占位
悼词,creative,追悼会纪念卡,素白底(#f5f0eb)，黑色衬线字体，画像占位框，生平分段，黑丝带装饰，日期居中底部
墓志铭,creative,石碑刻字,灰色石纹底(#c4bfb5)，阴刻文字凹陷效果，名字居中大写，生卒年跨度，一句话总结
海报,media,电影海报风格,深色渐变底，大标题粗体跨行，副标题/卡司/上映日期分层，视觉冲击，大字报感
传单,media,街头传单,亮色底(黄/橙)，标题超大号，卖点 bullet，地址/电话底部，折扣码框，撕角
广告,media,Banner 广告条,渐变色底，口号大字，产品图占位，CTA 按钮，优惠信息红色，紧迫感
黑板报,media,教室黑板报,深绿黑板底(#2a4a2a)，白色/彩色粉笔字，花边装饰框，标题美术字，插图占位
便签纸,media,彩色便签堆叠,多色底(黄/粉/蓝/绿)，手写体短句，轻微旋转，叠加阴影，角翘起效果
便利贴,media,3M 便利贴,正方形亮黄(#ffeb3b)，大字粗体，简短醒目，扭曲角度，粘贴感阴影
索引卡,media,图书馆索引卡,米白卡纸(#faf6f0)，编号顶部，标题加粗，关键词划线，分类号，检索码
感谢信,misc,感谢信卡,米白纸底(#faf6f0)，称呼顶格，感谢内容分段，「此致 敬礼」结尾，手写签名
检讨书,misc,学生检讨书,白色方格纸(#f8faf8)，'尊敬的老师'称呼，错误叙述，原因分析，改进措施，日期签名
电话通话记录,misc,通话记录界面,白色底(#ffffff)，联系人/号码蓝色，通话时长灰色，来电/去电箭头，时间戳
脑电波记录,misc,EEG 波形图,深灰底(#1a1a1a)，α/β/δ/θ 波形曲线，频率标注，癫痫波形标记，时域分析
密码,creative,加密便签,米白纸底(#faf8f5)，凯撒移位字母，解密提示底部，铅笔手写痕迹，撕边效果
藏头诗,creative,古典诗笺,宣纸底(#f0e8d0)，竖排右起，藏头字红色标注，印章落款，毛笔楷书，题跋
回文诗,creative,回环诗笺,宣纸底(#f0e8d0)，圆形排列文字，正向/反向箭头标注，中心诗眼，旋读提示，印章
数字诗,creative,数字诗卡片,米白卡纸(#faf6f0)，一至十序号左对齐，数字大号装饰，诗句分行，数独式排列感
Markdown 文档,tech,Typora 预览视图,暖白底(#faf9f5)，标题加粗蓝色，# 符号淡化，代码块浅灰背景，引用竖线
GraphQL 查询,tech,GraphQL Playground,深紫黑底(#1b1a2a)，query 紫色关键字，字段缩进，花括号匹配线，自动补全提示
参考文献,format,学术论文引用页,白色底(#ffffff)，[1] 编号格式，作者/标题/出处斜体，DOI 链接，GB/T 7714 国标
目录,format,书籍目录页,白色底(#fafaf5)，章节号+标题左对齐，页码右对齐，点线引导，层级缩进，前言/后记
脚注,format,学术脚注样式,白色底(#ffffff)，正文底部横线分隔，上标数字小字，脚注缩进悬挂，引用来源
百度百科词条,format,百度百科页面,白色底(#ffffff)，词条名称大号，基本信息表格，目录锚点，正文分段，参考资料列表
维基百科条目,format,Wikipedia 页面,白色底(#ffffff)，词条名大字，infobox 右侧表格，目录，[citation needed]，参考文献
字典词条,format,现代汉语词典页,米白纸底(#faf8f4)，词条加粗，拼音斜体，释义编号 1. 2. 3.，例句灰色，词性标注
成语词典,format,成语词典页,米白纸底(#faf6f0)，成语大字，拼音，出处古籍名，释义+例句，近义/反义，用法提示
说明书目录,format,说明书目录页,白色底(#ffffff)，1.1/1.2 多级编号，章标题粗体，节标题缩进，页码右对齐，图/表索引
错误日志,tech,Sentry 错误面板,深红黑底(#1a0f0f)，堆栈跟踪缩进，文件名+行号蓝色链接，错误类型红色标签
正则表达式,tech,Regex101 测试器,白色底(#ffffff)，正则模式蓝色背景，匹配文本绿色高亮，捕获组编号，/pattern/flags 格式
gRPC 协议,tech,protobuf 编辑器,深色底(#1e2330)，message/service 紫色关键字，字段编号蓝色，rpc 方法绿色
CMakeLists,tech,CMake 配置终端,深灰底(#1e1e1e)，cmake_minimum_required 蓝色指令，变量 ${} 橙色，注释灰色
Kubernetes YAML,tech,kubectl 输出终端,深蓝黑底(#0f1923)，apiVersion/kind 蓝色键名，metadata 缩进，status 绿色字段
Terraform 配置,tech,Terraform Cloud 界面,深紫黑底(#1b1b2e)，resource name 蓝色类型，= 对齐，plan 输出状态绿色
Ansible Playbook,tech,AWX 界面,深灰底(#1a1b20)，tasks: 蓝色标题，name 描述斜体，module 参数缩进，changed=1 黄色
药品说明书,format,药品说明书,白色薄纸(#fafaf5)，成分/性状/适应症分段，用法用量表格，不良反应列表，批准文号
辞职信,work,正式信函纸,米白底(#faf8f4)，日期居右，称呼顶格，正文分段，「此致敬礼」结尾，手写签名区
火车时刻表,format,火车站大屏,深蓝底(#003366)，白色车次/站点，时间表格，状态(正点/晚点)彩色标签，滚动感
航班时刻表,format,机场航班屏,深蓝底(#0a2a40)，航班号白色，目的地/登机口/状态，延误红色，起飞时间加粗
谜语,creative,灯谜纸条,红色纸条底(#c41e3a)，谜面黑色大字，谜目灰色小字，打一/猜一字格式，编号
对联,creative,春联红纸,红底(#c41e3a)，黑色毛笔字竖排，上联/下联对仗，横批居中顶置，金色暗纹底纹
三字经,creative,蒙学课本页,泛黄宣纸(#f0e6c8)，三字一行排列，押韵字脚注，竖排右起，毛笔手写体
四字格,creative,成语墙,灰色砖纹底(#d5cfc5)，四字一格方块排列，成语字大号，典故小字注释，网格布局
五言绝句,creative,唐诗笺,宣纸底(#f2ead8)，五言竖排，平仄标注小圈，韵脚红点，落款+印章，水墨边框
七言律诗,creative,律诗卷轴,绢布底(#e8dcc8)，七言竖排八句，颔联颈联对仗标注，题跋，卷轴展开效果
宋词,creative,宋词词谱页,宣纸底(#f0e8d0)，词牌名顶置，上下阕分段，韵脚红圈，工尺谱标注，词评栏
元曲,creative,元曲抄本页,黄麻纸底(#e5d8b8)，曲牌名顶置，正字/衬字区分，宫调标注，套曲结构，散曲/剧曲标记
甲骨文,creative,甲骨拓片,龟甲纹理底(#d5c8a8)，象形文字雕刻感，竖向刻痕，裂纹占卜线，棕褐色墨拓
文言文,creative,线装书页,宣纸底(#f0e8d0)，竖排右起，句读红圈，注释双行小字，版心鱼尾，书口
白话文,creative,现代横排书页,白色底(#fafaf7)，横排左起，段落首行缩进，标点规范，行距舒适，页码
方言,creative,方言词典卡片,米白底(#faf6f0)，方言词条加粗，音标斜体，普通话注释，例句引用，地域标注
翻译腔,creative,翻译小说页,米白纸底(#faf8f4)，欧化长句，破折号频繁，'哦我的上帝'式语感，注释脚标，人物对话引号
港台腔,creative,港台杂志页,白色铜版纸(#ffffff)，繁体字，港台词汇，注音符号，竖排标题，彩色排版
火星文,creative,早期QQ空间,粉色渐变底(#ffe0f0)，火星文大字，非主流符号，闪光装饰，日文假名混入，彩虹字
儿童语,creative,儿童绘本页,彩色底(#fff8e7)，大字圆体，拼音标注，简单句型，手绘插图占位，翻页效果
老人语,creative,老花镜阅读卡,米黄底(#f5edd8)，大号字，慢节奏分段，回忆体 '那时候...'，照片占位框
机器人语,creative,机器人 LED 面板,深灰金属底(#2a2d30)，LED 点阵字，机械断句，状态码前缀，无情感短句
外星人语,creative,外星通讯终端,深紫底(#1a0a2a)，奇异符号字，翻译对照表，信号波形图，坐标编码，未知语言混合
电报体,creative,老式电报纸条,窄条米黄底(#f0e8d0)，大写字母，STOP 分隔，省略冠词，发送/接收站名，时间戳
断句体,creative,手术刀式断句卡,白色底(#ffffff)，每两字一句号，断裂感排版，不规则间距，短促节奏，留白大
无标点,creative,无标点文字墙,白色底(#fafaf7)，文字密排无间隔，靠自然断行，无标点符号，呼吸感缺失
全标点,creative,标点轰炸卡片,白色底(#ffffff)，每个字后标点，标点彩色，密集排版，过载感，信息焦虑暗示
单字,creative,单字矩阵,黑色底(#0a0a0a)，每行一字白色居中，字间距大，竖排阅读感，空灵感留白
双字,creative,双字节奏卡,白色底(#fafaf7)，每行两字，等宽对齐，词间留白均匀，词语本义凸显
三字,creative,三字格言卡,米白底(#faf6f0)，每行三字居中，古典格言感，均衡对称排版，逗号分隔
反写,creative,镜面文字卡,浅灰底(#e8e8e8)，文字左右翻转，镜面效果，字母反向，解码提示小字，镜像测试
拼音,creative,拼音课本页,白色底(#ffffff)，全拼音斜体排列，声调标注，无汉字，分词空格，儿歌节奏感
英文,creative,English Diary Page,白色底(#ffffff)，全英文无中文，英文花体标题，日期英文格式，段落缩进，signature 底部
中英混合,creative,双语对照卡片,白色底(#ffffff)，中文加粗，英文斜体括号跟随，双语并行排版，翻译腔调，对照表格式
数字,creative,数字编码卡,深灰底(#1a1a1a)，全数字序列绿色，数字分组分隔，编码表图例，解码挑战
符号,creative,符号密码卡,黑色底(#0a0a0a)，纯符号序列，无文字，符号间距，解读提示线，密码学感
象形,creative,象形文字石碑,石纹底(#c8bfb0)，简易图形符号，排列叙事，埃及/玛雅风格，太阳/水/山等象形
空间,misc,三维坐标卡,黑色底(#0a0a0a)，XYZ 坐标值绿色，空间位置描述，向量/距离计算，原点标记
数字编号,misc,编号列表卡,白色底(#fafaf7)，大号数字左对齐，内容留白均匀，数字装饰圆角框
字母编号,misc,字母索引卡,白色底(#fafaf7)，A/B/C 字母彩色块前缀，内容缩进，字典式排版
罗马数字,misc,罗马数字石碑,石纹底(#c8bfb0)，I/II/III 数字刻痕感，古典编号，拉丁文点缀
天干地支,misc,老黄历甲子表,泛黄宣纸(#f0e8d0)，天干地支循环表，红色甲子标注，节气关联，六十甲子轮
二十四节气,misc,节气表盘,米黄底(#f5f0e5)，圆形二十四等分，节气名弧形排列，当前节气高亮，太阳黄经
十二生肖,misc,生肖轮盘,红金底(#8b2500)，十二生肖环形排列，当年生肖放大，干支标注，五行分类
十二星座,misc,星座星盘,深蓝底(#0a1030)，黄道十二宫环状，星座符号，行星落位，上升星座标注
五行,misc,五行生克图,米白底(#faf6f0)，金木水火土五角星排列，相生绿箭头/相克红箭头，属性列表
八卦,misc,八卦图,米黄底(#f0e8d0)，先天/后天八卦排列，卦名+卦象，阴阳爻线，方位标注
拟声,misc,拟声词频谱,深灰底(#1a1a1a)，拟声词彩色波形：哐当/哗啦/滴滴，音量大小字号变化
气味,misc,香水评测卡,白色底(#ffffff)，前调/中调/后调金字塔，气味词粗体，浓度条形，调香师注
声音,misc,音频频谱分析,深灰底(#1a1a1a)，频谱波形图，dB 刻度，频率标注，声音分类标签
颜色,misc,调色板卡,白色底(#ffffff)，色块正方形排列，颜色名+色号标注，RGB/CMYK 值，配色方案
触觉,misc,触觉材质板,深灰底(#1a1a1a)，材质描述(粗糙/光滑/冰凉/温热)，纹理微距图框，压力值
味觉,misc,风味品鉴卡,白色底(#ffffff)，酸甜苦咸鲜五味轮，强度蜘蛛网图，风味词分层，余味时值
诗歌,fiction,现代诗集排版,白色底(#fafaf7)，居中分行，短句韵律，空行分节，衬线字体，页码小字
小说,fiction,平装小说排版,米白纸底(#f5f2eb)，段落首行缩进，章节号，对话引号，页边距宽，页码
散文,fiction,散文杂志排版,暖白底(#faf6f0)，自由分行，无框架感，段落间距宽，首字下沉装饰，随意
传记,fiction,传记封面内页,米白底(#faf5f0)，姓名大字，生平时间线竖线，照片占位框，大事记列表
自传,fiction,自传手稿,米黄纸底(#f5edd8)，第一人称贯穿，时间线箭头，钢笔手写感，修改痕迹，签名
回忆录,fiction,老相册风格,泛黄底(#e8dcc8)，照片框占位，日期标注，手写备注，做旧边框，时间跳跃
书信,fiction,手写信纸,米白信纸(#faf6f0)，称呼顶格，正文缩进，「此致 敬礼」落款，日期底部，手写体
日记,fiction,传统日记本,横格纸底(#f5f0e5)，日期+天气头部，蓝色横线，手写体，页边距记号
第三人称,creative,旁观者笔记,米白纸底(#faf8f5)，'他/她' 称谓，客观描述，不加主观感受，报道体，行为记录
第二人称,creative,致自己的信,暖黄信纸底(#f5f0e5)，'你' 称谓贯穿，建议/告诫语气，自我对话感，写信格式
过去时,creative,回忆录片段,泛黄旧纸底(#e8dcc8)，'了/过/曾经' 时态词密集，旧照片边框，褪色感，日期老式
现在时,creative,实时直播卡,白色底(#ffffff)，'正在/着' 进行态，时间戳实时感，滚动更新暗示，breaking news 感
将来时,creative,预言之书,羊皮纸底(#d4c8a8)，'将/会/要' 未来态，占卜/预测感，星象符号，不确定性标记
倒叙,creative,倒叙时间线卡,深灰底(#1a1a1a)，从结局回溯的时间轴，箭头反向，因果倒置，篇尾即开头标注
插叙,creative,回忆插入卡片,米白底(#faf6f0)，主叙事中插入回忆块，回忆块浅灰背景，时间跳跃标记，'那时'
意识流,creative,意识流手稿,泛黄草纸底(#f0e6d0)，无标点长句，思绪跳跃箭头，关键词圈注，不规则断行
极简主义,creative,极简白卡,纯白底(#ffffff)，极少文字，大留白，单一线条分隔，无装饰，克制排版
啰嗦主义,creative,啰嗦便签,淡黄底(#fffbeb)，文字密集，反复说明，括号补充多，注释脚标，占用全空间
黑色幽默,creative,黑色幽默卡片,深灰底(#1a1a1a)，荒诞反差排版，讽刺文字，笑点与残酷并置，表情冷漠
治愈系,creative,温暖治愈卡,奶油色底(#fff8f0)，柔和圆角，温暖配色(蜜色+奶绿)，手绘小花装饰，舒缓字体
丧系,creative,丧系语录卡,深灰底(#2a2a2a)，'算了/无所谓/累了' 关键词，灰色文字低对比度，躺平感，暗调
沙雕,creative,沙雕段子卡,亮黄底(#ffe600)，搞笑文字粗体，无厘头排版，网络梗，表情包占位，戏谑标签
文艺,creative,文艺小卡片,牛皮质地底(#c4a87c)，手写体小字，咖啡渍纹理，诗句感，留白适当，做旧
硬核,creative,硬核技术卡,黑色终端底(#0a0a0a)，绿色代码字，技术参数，命令输出风格，warning 标签
侦探小说,fiction,侦探笔记,深棕底(#2a1a0a)，烟斗/放大镜图标，线索列表，推理箭头，嫌疑人表格，红色 herring
科幻小说,fiction,科幻杂志页,深蓝黑底(#0a101f)，银色科技字体，未来数据面板，星图占位，外星字符点缀
奇幻小说,fiction,魔法书页,羊皮纸底(#d4c8a8)，古体字标题，符文装饰，魔药配方格式，地图碎片占位
武侠小说,fiction,武侠秘籍残卷,泛黄纸底(#e8d8b8)，竖排右起，毛笔手写体，招式名称大字，心法口诀，内力图示
言情小说,fiction,言情口袋书,粉白底(#fff0f5)，标题柔美字体，对话多，情感关键词粉色，心形装饰，章节花边
悬疑小说,fiction,悬疑档案夹,深灰底(#1a1a1a)，红色线索标记，证据编号，时间线交错，问号留白，快节奏分段
恐怖小说,fiction,恐怖手记,深黑底(#0a0a0a)，红色血迹效果，白色文字颤抖感，不规则字体，阴影遮罩，警告符号
童话,fiction,童话绘本页,奶油底(#fff8e7)，大字圆体，插图框占位，'很久很久以前'开头，彩色边框，星星
寓言,fiction,伊索寓言风格,米白底(#f5f0e5)，故事+道理分隔线，动物插图占位，道德结语加粗
神话,fiction,神话卷轴,羊皮纸底(#e0d0b0)，众神名录，创世时间线，神庙柱廊边框，雷电/火焰符号
传说,fiction,民间传说抄本,泛黄纸底(#e8d8c0)，口述转写感，地域标注，传唱标记，人物谱系树
史诗,fiction,英雄史诗排版,羊皮卷底(#d8c8a8)，宏大开场，神名大号，战斗场景分行，竖琴图饰边框
悲剧,fiction,悲剧剧本页,深灰底(#1a1a1a)，对话体，命运关键词红色，合唱队标注，三一律暗示
喜剧,fiction,喜剧剧本页,白色底(#ffffff)，对话体欢快节奏，笑点排比，误解/巧合标注，滑稽人物出场记
独白,creative,内心独白手稿,泛黄稿纸底(#f0e6d0)，第一人称贯穿，无对话标记，思绪自由流，留白呼吸感
对话,creative,双人对话剧本,白色底(#ffffff)，说话人粗体+冒号，对话分行缩进，沉默标注[……]，语气副词括号
游戏脚本,format,对话脚本格式,深灰底(#1a1a1a)，NPC 名字彩色标签，对话文本，选项分支箭头，条件判断 if/else
指南,work,使用手册排版,白色底(#ffffff)，步骤编号 1. 2. 3.，配图占位框，注意事项黄色背景框
教程,work,在线教程页面,白色底(#fafafa)，代码块深灰背景，步骤标题加粗，Tip 绿色左边框，截图说明
报告,work,企业报告封面,白底蓝边(#ffffff)，标题居中蓝色，摘要灰底框，数据表格，图表占位区，页码
总结,work,周报/月报格式,白色底(#ffffff)，日期范围加粗，完成项绿勾标记，进行中黄色，待办红色，量化指标数字
计划,work,甘特图风格,白色底(#ffffff)，任务名左列，时间轴横条，里程碑菱形标记，完成度百分比，依赖箭头
预算,life,财务记账 App,白色底(#ffffff)，收入绿色/支出红色，分类图标圆形，月度总额粗体，饼图占位
账单,life,银行电子账单,白色底(#ffffff)，银行 Logo 顶部，交易日期/摘要/金额表格，借方/贷方分列，余额底行
清单,format,待办清单卡,白色底(#fafaf5)，编号/checkbox 列表，完成项横线标记，分类区隔，确认签名行
目录,format,书籍目录页,白色底(#fafaf5)，章节号+标题左对齐，页码右对齐，点线引导，层级缩进，前言/后记
词汇表,format,教科书词汇表,白色底(#fafaf7)，A-Z 字母索引，词条粗体+释义，音标斜体，两栏排版
随笔,fiction,作家随笔集,米白纸底(#faf6f2)，随意排版，思考片段分行，引用竖线，日期标注，批注感
杂文,fiction,杂文专栏,报纸底(#f7f6f2)，犀利标题，观点加粗，引用块，反驳箭头，署名，讽刺感
评论,fiction,电影/书评卡片,白色底(#ffffff)，作品名粗体，评分星级，优缺点分列，结论加框
说明文,fiction,教科书/百科页,白色底(#fafafa)，定义粗体，分点说明，图解占位，分类表格，术语注释
议论文,fiction,论文排版,白色底(#ffffff)，论点/论据/论证三段，引用标注，反方观点区，结论加框
记叙文,fiction,学生作文格,绿色方格纸(#e8f0e0)，方格底纹，时间顺序，六要素框架，首行缩进，评语区
描写文,fiction,印象派画册页,米白纸底(#faf5eb)，细节列举，感官词汇，色彩形容词高亮，比喻分行
抒情文,fiction,抒情散文卡,暖黄底(#faf3e0)，情感词汇加粗，感叹号，排比分行，自然意象点缀
植物视角,roleplay,植物生长观察日记,米黄纸底(#f0e6d0)，阳光/水分/土壤字段，生长数据，叶片素描框，光合作用公式
物品视角,roleplay,物品使用说明书,米白底(#faf6f0)，物品名称大字，材质/功能标签，使用场景，'被人拿起/放下'叙述
上帝视角,roleplay,全知全景俯瞰图,米白纸底(#faf8f4)，第三人称全知，时空备注，全局地图占位，命运线交叉
电影剧本,fiction,好莱坞剧本格式,白色底(#ffffff)，场景号+内外景头部，角色名居中，对白缩进，Courier 12pt 字体
漫画脚本,fiction,漫画分镜脚本,白色打印纸(#ffffff)，PAGE/PANEL 编号，画面描述斜体，角色对话引号，SFX 大写
说明书,format,宜家说明书风格,白色底(#ffffff)，无文字纯图示，步骤线框图，禁止符号，零件编号，组装箭头
动物视角,roleplay,动物行为日志,草绿纸底(#e8f0d8)，动物名粗体，习性/栖息地标注，嗅觉/听觉感官描述，脚印图
时间表,life,课程表风格,白色底(#ffffff)，网格表格，时间列左，星期行头，彩色科目块，课间标注
日程表,life,Google Calendar 风格,白色底(#ffffff)，时间轴左列竖线，事件彩色条，持续时间，地点小字
日历,life,桌面日历翻页,白色底(#fafaf5)，月份粗体，周日红色，方格日期，农历小字，今日高亮圈
打卡,life,打卡 App 界面,白色底(#ffffff)，连续天数大号数字，圆形进度环，项目列表，完成绿勾，日历热力图
评分,life,豆瓣/IMDb 评分卡,深灰底(#1a1a1a)，星级黄色，评分大号数字，短评斜体，标签云小字
排名,life,排行榜界面,深色底(#1a1a23)，1/2/3 金银铜色，排名数字大号，条目标题，分数右对齐，分隔细线
投票,format,投票界面卡,白色底(#ffffff)，候选人列表，单选/多选，票数柱状图，百分比，投票截止时间
问卷,format,在线问卷卡,白色底(#f8f9fa)，1. 题号加粗，单选圆点/多选方框，量表星星/数字，提交按钮
测试,format,测验考卷卡,白色底(#ffffff)，选择题 ABCD，判断题 T/F，填空题下划线，总分标注，时间限制
角色扮演,roleplay,角色设定卡,仿羊皮纸(#d8ccb0)，角色名+种族+职业表，属性值条，技能列表，背景故事分段
赛博朋克 2077 界面,roleplay,赛博朋克 HUD,深黑底(#0a0a0a)，义体状态值条(黄/红)，网络接入仓日志，街头声望数值，公司通告红色，黄色扫描线
克苏鲁调查员笔记,roleplay,1920s 调查员笔记本,泛黄皮革面(#c8b890)，手写潦草体，sanity 值标注，不可名状文字扭曲，报纸剪报拼贴感
蒸汽朋克图纸,roleplay,维多利亚时期设计图,泛黄蓝图(#c8c0a8)，齿轮/活塞剖面图，铜色墨迹，机械部件编号，发条装置图示，差分机图纸
修真者修炼手札,roleplay,修真秘籍残页,宣纸底(#f0e8d0)，灵力运转周天图示，丹药配方，瓶颈感悟分行，突破境界记录，剑法图谱
末世生存者日志,roleplay,末日生存手册,军绿色帆布底(#4a5a3a)，物资库存清单，感染者分类表，安全屋地图框，幸存者公约
哈利波特魔法日记,roleplay,霍格沃茨羊皮卷,仿羊皮纸(#d8c8a8)，如尼符文点缀，魔药配方分段，活点地图占位，学院徽章装饰
